raw_transaction,upi_id,amount,transaction_type,recepient_type,category,bank,recepient_name
Shop Owner - [05:09:15 05-01-2023] INR 436 debited to mart.296@okaxis,mart.296@okaxis,-436,debit,merchant,shopping,okaxis,mart
Shop Owner - [13:24:27 09-01-2023] INR 14889 debited to market.262@paytm,market.262@paytm,-14889,debit,merchant,shopping,paytm,market
Shop Owner - [00:25:05 15-01-2023] INR 907 debited to mart.100@okaxis,mart.100@okaxis,-907,debit,merchant,shopping,okaxis,mart
Shop Owner - [06:27:34 15-01-2023] INR 14974 credited from store.458@okaxis,store.458@okaxis,14974,credit,merchant,shopping,okaxis,store
Shop Owner - [20:44:24 20-01-2023] INR 18616 debited to retail.759@oksbi,retail.759@oksbi,-18616,debit,merchant,shopping,oksbi,retail
Shop Owner - [02:42:35 21-01-2023] INR 1003 debited to shop.861@okicici,shop.861@okicici,-1003,debit,merchant,shopping,okicici,shop
Shop Owner - [07:10:57 22-01-2023] INR 1156 credited from vendor.435@okhdfc,vendor.435@okhdfc,1156,credit,merchant,shopping,okhdfc,vendor
Shop Owner - [07:00:50 29-01-2023] INR 12679 debited to mart.404@oksbi,mart.404@oksbi,-12679,debit,merchant,shopping,oksbi,mart
Shop Owner - [12:02:55 29-01-2023] INR 1465 credited from market.909@okhdfc,market.909@okhdfc,1465,credit,merchant,shopping,okhdfc,market
Shop Owner - [02:26:41 31-01-2023] INR 610 debited to shop.869@okaxis,shop.869@okaxis,-610,debit,merchant,shopping,okaxis,shop
Shop Owner - [06:01:49 31-01-2023] INR 1131 debited to vendor.249@okicici,vendor.249@okicici,-1131,debit,merchant,shopping,okicici,vendor
Shop Owner - [13:53:01 31-01-2023] INR 968 debited to vendor.435@okhdfc,vendor.435@okhdfc,-968,debit,merchant,shopping,okhdfc,vendor
Shop Owner - [14:59:54 31-01-2023] INR 827 debited to mart.156@okhdfc,mart.156@okhdfc,-827,debit,merchant,shopping,okhdfc,mart
Shop Owner - [15:10:31 31-01-2023] INR 222 debited to retail.239@paytm,retail.239@paytm,-222,debit,merchant,shopping,paytm,retail
Shop Owner - [01:22:14 02-03-2023] INR 543 debited to shop.869@okaxis,shop.869@okaxis,-543,debit,merchant,shopping,okaxis,shop
Shop Owner - [14:32:33 02-03-2023] INR 858 debited to vendor.249@okicici,vendor.249@okicici,-858,debit,merchant,shopping,okicici,vendor
Shop Owner - [17:14:02 02-03-2023] INR 803 debited to mart.156@okhdfc,mart.156@okhdfc,-803,debit,merchant,shopping,okhdfc,mart
Shop Owner - [15:43:07 01-04-2023] INR 1010 debited to vendor.249@okicici,vendor.249@okicici,-1010,debit,merchant,shopping,okicici,vendor
Shop Owner - [19:11:41 01-04-2023] INR 642 debited to shop.869@okaxis,shop.869@okaxis,-642,debit,merchant,shopping,okaxis,shop
Shop Owner - [21:59:50 01-04-2023] INR 1119 debited to mart.156@okhdfc,mart.156@okhdfc,-1119,debit,merchant,shopping,okhdfc,mart
Shop Owner - [18:56:41 01-05-2023] INR 839 debited to shop.869@okaxis,shop.869@okaxis,-839,debit,merchant,shopping,okaxis,shop
Shop Owner - [21:41:46 01-05-2023] INR 1195 debited to mart.156@okhdfc,mart.156@okhdfc,-1195,debit,merchant,shopping,okhdfc,mart
Shop Owner - [22:19:33 01-05-2023] INR 1034 debited to vendor.249@okicici,vendor.249@okicici,-1034,debit,merchant,shopping,okicici,vendor
Shop Owner - [08:54:19 31-05-2023] INR 568 debited to shop.869@okaxis,shop.869@okaxis,-568,debit,merchant,shopping,okaxis,shop
Shop Owner - [10:35:51 31-05-2023] INR 1013 debited to vendor.249@okicici,vendor.249@okicici,-1013,debit,merchant,shopping,okicici,vendor
Shop Owner - [19:36:03 31-05-2023] INR 878 debited to mart.156@okhdfc,mart.156@okhdfc,-878,debit,merchant,shopping,okhdfc,mart
Shop Owner - [08:27:52 30-06-2023] INR 563 debited to shop.869@okaxis,shop.869@okaxis,-563,debit,merchant,shopping,okaxis,shop
Shop Owner - [09:55:30 30-06-2023] INR 888 debited to mart.156@okhdfc,mart.156@okhdfc,-888,debit,merchant,shopping,okhdfc,mart
Shop Owner - [21:41:35 30-06-2023] INR 894 debited to vendor.249@okicici,vendor.249@okicici,-894,debit,merchant,shopping,okicici,vendor
Shop Owner - [05:31:39 30-07-2023] INR 925 debited to shop.869@okaxis,shop.869@okaxis,-925,debit,merchant,shopping,okaxis,shop
Shop Owner - [15:07:29 30-07-2023] INR 1123 debited to mart.156@okhdfc,mart.156@okhdfc,-1123,debit,merchant,shopping,okhdfc,mart
Shop Owner - [15:53:14 30-07-2023] INR 1392 debited to vendor.249@okicici,vendor.249@okicici,-1392,debit,merchant,shopping,okicici,vendor
Shop Owner - [02:25:30 29-08-2023] INR 986 debited to mart.156@okhdfc,mart.156@okhdfc,-986,debit,merchant,shopping,okhdfc,mart
Shop Owner - [03:17:49 29-08-2023] INR 629 debited to shop.869@okaxis,shop.869@okaxis,-629,debit,merchant,shopping,okaxis,shop
Shop Owner - [19:55:28 29-08-2023] INR 843 debited to vendor.249@okicici,vendor.249@okicici,-843,debit,merchant,shopping,okicici,vendor
Shop Owner - [04:38:15 28-09-2023] INR 752 debited to shop.869@okaxis,shop.869@okaxis,-752,debit,merchant,shopping,okaxis,shop
Shop Owner - [06:11:38 28-09-2023] INR 859 debited to mart.156@okhdfc,mart.156@okhdfc,-859,debit,merchant,shopping,okhdfc,mart
Shop Owner - [11:32:15 28-09-2023] INR 1025 debited to vendor.249@okicici,vendor.249@okicici,-1025,debit,merchant,shopping,okicici,vendor
Shop Owner - [14:05:17 28-10-2023] INR 1026 debited to mart.156@okhdfc,mart.156@okhdfc,-1026,debit,merchant,shopping,okhdfc,mart
Shop Owner - [17:44:19 28-10-2023] INR 926 debited to shop.869@okaxis,shop.869@okaxis,-926,debit,merchant,shopping,okaxis,shop
Shop Owner - [21:30:00 28-10-2023] INR 1391 debited to vendor.249@okicici,vendor.249@okicici,-1391,debit,merchant,shopping,okicici,vendor
Shop Owner - [13:05:12 27-11-2023] INR 1487 debited to vendor.249@okicici,vendor.249@okicici,-1487,debit,merchant,shopping,okicici,vendor
Shop Owner - [14:55:31 27-11-2023] INR 693 debited to shop.869@okaxis,shop.869@okaxis,-693,debit,merchant,shopping,okaxis,shop
Shop Owner - [19:33:47 27-11-2023] INR 1115 debited to mart.156@okhdfc,mart.156@okhdfc,-1115,debit,merchant,shopping,okhdfc,mart
Shop Owner - [14:58:41 27-12-2023] INR 1334 debited to vendor.249@okicici,vendor.249@okicici,-1334,debit,merchant,shopping,okicici,vendor
Shop Owner - [15:07:14 27-12-2023] INR 604 debited to shop.869@okaxis,shop.869@okaxis,-604,debit,merchant,shopping,okaxis,shop
Shop Owner - [18:38:22 27-12-2023] INR 841 debited to mart.156@okhdfc,mart.156@okhdfc,-841,debit,merchant,shopping,okhdfc,mart
Shop Owner - [09:21:53 26-01-2024] INR 760 debited to vendor.249@okicici,vendor.249@okicici,-760,debit,merchant,shopping,okicici,vendor
Shop Owner - [13:04:37 26-01-2024] INR 1095 debited to mart.156@okhdfc,mart.156@okhdfc,-1095,debit,merchant,shopping,okhdfc,mart
Shop Owner - [15:10:38 26-01-2024] INR 796 debited to shop.869@okaxis,shop.869@okaxis,-796,debit,merchant,shopping,okaxis,shop
Shop Owner - [01:27:46 25-02-2024] INR 1345 debited to vendor.249@okicici,vendor.249@okicici,-1345,debit,merchant,shopping,okicici,vendor
Shop Owner - [04:30:24 25-02-2024] INR 905 debited to mart.156@okhdfc,mart.156@okhdfc,-905,debit,merchant,shopping,okhdfc,mart
Shop Owner - [18:01:57 25-02-2024] INR 632 debited to shop.869@okaxis,shop.869@okaxis,-632,debit,merchant,shopping,okaxis,shop
Shop Owner - [07:02:27 26-03-2024] INR 830 debited to vendor.249@okicici,vendor.249@okicici,-830,debit,merchant,shopping,okicici,vendor
Shop Owner - [10:51:56 26-03-2024] INR 869 debited to mart.156@okhdfc,mart.156@okhdfc,-869,debit,merchant,shopping,okhdfc,mart
Shop Owner - [13:02:28 26-03-2024] INR 769 debited to shop.869@okaxis,shop.869@okaxis,-769,debit,merchant,shopping,okaxis,shop
Shop Owner - [09:56:39 25-04-2024] INR 1159 debited to vendor.249@okicici,vendor.249@okicici,-1159,debit,merchant,shopping,okicici,vendor
Shop Owner - [10:09:36 25-04-2024] INR 993 debited to shop.869@okaxis,shop.869@okaxis,-993,debit,merchant,shopping,okaxis,shop
Shop Owner - [16:59:34 25-04-2024] INR 876 debited to mart.156@okhdfc,mart.156@okhdfc,-876,debit,merchant,shopping,okhdfc,mart
Shop Owner - [16:52:02 25-05-2024] INR 733 debited to shop.869@okaxis,shop.869@okaxis,-733,debit,merchant,shopping,okaxis,shop
Shop Owner - [21:47:04 25-05-2024] INR 992 debited to mart.156@okhdfc,mart.156@okhdfc,-992,debit,merchant,shopping,okhdfc,mart
Shop Owner - [22:40:51 25-05-2024] INR 1204 debited to vendor.249@okicici,vendor.249@okicici,-1204,debit,merchant,shopping,okicici,vendor
Shop Owner - [04:31:12 24-06-2024] INR 871 debited to shop.869@okaxis,shop.869@okaxis,-871,debit,merchant,shopping,okaxis,shop
Shop Owner - [12:04:51 24-06-2024] INR 1292 debited to vendor.249@okicici,vendor.249@okicici,-1292,debit,merchant,shopping,okicici,vendor
Shop Owner - [14:24:14 24-06-2024] INR 1104 debited to mart.156@okhdfc,mart.156@okhdfc,-1104,debit,merchant,shopping,okhdfc,mart
Shop Owner - [04:00:02 24-07-2024] INR 707 debited to vendor.249@okicici,vendor.249@okicici,-707,debit,merchant,shopping,okicici,vendor
Shop Owner - [06:28:39 24-07-2024] INR 897 debited to mart.156@okhdfc,mart.156@okhdfc,-897,debit,merchant,shopping,okhdfc,mart
Shop Owner - [12:25:57 24-07-2024] INR 624 debited to shop.869@okaxis,shop.869@okaxis,-624,debit,merchant,shopping,okaxis,shop
Shop Owner - [08:41:28 23-08-2024] INR 1355 debited to vendor.249@okicici,vendor.249@okicici,-1355,debit,merchant,shopping,okicici,vendor
Shop Owner - [12:37:41 23-08-2024] INR 522 debited to shop.869@okaxis,shop.869@okaxis,-522,debit,merchant,shopping,okaxis,shop
Shop Owner - [16:00:17 23-08-2024] INR 849 debited to mart.156@okhdfc,mart.156@okhdfc,-849,debit,merchant,shopping,okhdfc,mart
Shop Owner - [11:06:40 22-09-2024] INR 773 debited to vendor.249@okicici,vendor.249@okicici,-773,debit,merchant,shopping,okicici,vendor
Shop Owner - [13:27:08 22-09-2024] INR 882 debited to shop.869@okaxis,shop.869@okaxis,-882,debit,merchant,shopping,okaxis,shop
Shop Owner - [22:22:09 22-09-2024] INR 1185 debited to mart.156@okhdfc,mart.156@okhdfc,-1185,debit,merchant,shopping,okhdfc,mart
Shop Owner - [00:40:30 22-10-2024] INR 1406 debited to vendor.249@okicici,vendor.249@okicici,-1406,debit,merchant,shopping,okicici,vendor
Shop Owner - [22:29:19 22-10-2024] INR 1157 debited to mart.156@okhdfc,mart.156@okhdfc,-1157,debit,merchant,shopping,okhdfc,mart
Shop Owner - [23:47:08 22-10-2024] INR 875 debited to shop.869@okaxis,shop.869@okaxis,-875,debit,merchant,shopping,okaxis,shop
